Wonderful awsm camera  	4
Perfect product! Simply Outstanding... from a Nokia lover  	5
Classy product Nice phone in this range.. cool design and pretty handy, big and vivid screen, good camera, processor and you will get a nice feel using it. Video playback quality is average.  	5
Excellent Don't listen to those who say display is bad.. it's good..iphone charge 76000 for 720p ...Brand value is a thing right!.. wherever you carry this phone you will be noticed due to its build and ringtone of course...helio p60 is killer chip equivalent to sd660.... believe me you will like the Android one...i recieved two updates in just 1 day after unboxing it... Android pie is definitely coming in say a month...eaphone quality is chitty you know what i mean.. charging brick is solid cable coul...  	5
Good quality product all iss good .  	4
Must buy! good product  	5
Perfect product! NOKIA THE PERFECT BRAND   	5
Worth the money Got it for my mom & she is happy with it.  Premium build & design clean/stock android one Helio P60 & Nokia... :) Not expecting much at this price point but good to see that Nokia is back in competition.. cons- Battery charging time & capacity  	4
Nice product supports hd graphics in pubg  	4
Delightful super b  	4
Very Good nice  	4
Just wow! Amazingly beautiful and worth every penny spent.  	5
Classy product Hi Everyone  First of all Thanks to flipkart for a perfect phone for  Android developers because of latest updates Now the phone is seriously a perfect value for money The looks are awesome glass body loving it :) Screen qualitie is just amazing  camera is also good for a normal usage I don't know why i am getting so much awesome battery life :) Smooth performance  Nokia ka bharosa + a gaurenty updates I got it for only 7k exchange with my old motog4 plus USB type c + Headphone jack ...  	5
Cool First impression is good.... Let me see how it perform over the days  	5
Classy product Nice and amazing product..  	5
Super! I have used many smartphone but truly saying this is best.... By looks it is #ranked-1.... stunning glorious look...slim light weight glass back it is amazing Best phone in 10k-15k range. I get into the point most people asking... 1. Screen quality it is HD+ display but the quality is very good fluid colour perfect saturated colours pixel density is also high making display very vibrant. 2. Battery is 3000mah and it is enough for one day usage there is no heating issue ,no lagging , touch r...  	5
Classy product performance is awesome, camera also good, friendly ui, easy customised apps, budget phone, excellent phone,  	5
Super! Very attractive glass finishing. Performance is very good. Played Pubg with HD Settings no heating issues. Perfect mobile for Gamers. Camera quality is better than i expect. Mobile is very slippery need to purchase back case. Also lack of screen protection need to buy high quality tempered glass.  	5
Perfect product! great performance great look great camera....  	5
Best in the market! it's the best creation by hmd global... the most beautiful device...the best budget device....notch shape is verry close to I Phone notch which looks verry cool.....helio p60 is doing great with the performance... dimension is perfect.. go for it.....  	5
Terrific First of all i was a bit disappointed by the delievry from flipkart side.. but now lets talk about the device itslef..A brief Review of the device itself. Design And Build:- The design is paricularly amazing and excellent itself. Feels much more premium than the price range it is offered in.The chasis is polycarbonate but doesnt fell like that.. the weight is also not that heavy..The device is compact and easy for one handed usage. So in terms of design Nokia>Asus. Display:- I see a lot of pe...  	5
Classy product looking awesome but I  have some issue every one hour smal sound comes out  	5
Wonderful nice mobile  	4
Mind-blowing purchase I LIKE THAT PHONE SPEED AMEZING  	5
Brilliant good product...camera awesome ...display good ..easy to handle !  	5
Simply awesome Excellent phone for the price. Probably the cheapest phone with usb c charging pin. Stock android is a gem. Display is average. But was expected. The built quality is surprisingly good  	5
Worth the money I like it super mobile phone for Nokia nice performance good  	4
Best in the market! Premium quality phone for valuable price.  	5
Fabulous! premium look superb performance  camera quality is good (4/5) Awesome phone in this price value for money  Go for it..  	5
Wonderful Pros : In hand feel is really good             Good built quality             Performance is really good in my opinion             Battery is kinda acceptable             Usb Type C port             Android one Cons : Average camera              Display is kinda okay Should u go for it? I would say yes, it's a value for money device with android one and trust of Nokia  	4
Pretty good awesome phone.. Value for money  	4
Best in the market! nice mobile pros: camera is good    battery backup is great   fast charging is only ad.1 to 20 percent taken 15 miniutes display is good  performance is great  design is awesome worthy product for money  fingerprint is fast con: low light condition camera is bad  	5
Super! superb smartphone at this price by nokia  	5
Highly recommended CaMera is Average and Display is Average, Overall AwesoMe Mobile in this Price SegMent with the Brand Tag Of Nokia....  	5
Terrific purchase good looking phone in this price...  profamane is very good and smooth also.....  	5
Good choice its light good phone in this money.#Looking nice #Day time camera is good #but night time is not perfect.#light weight phone.  	4
Wonderful Average display and camera(low light) ,audio quality is very loud and clear, battery stand up to 1day for normal user, processor runs smoothly without any lag,no heating issues ,built quality really appreciated,worth to buy and value for money.  	4
Super! Undoubtedly this phone is the best budget sigmet in this price and today my cell was delivered and the first look of this phone fascinated me alot it's build quality,outlook and all cameras are pretty good but battery performance disappointed me a bit but however it was not all that bad and one of the nicest thing about this device is after holding this phone in hand believe me it's like a phone of high budget... thanks NOKIA for bouncing back  	5
Good quality product excellent, awesome product by Nokia , only one problem that is heating  	4
Very poor nokia 5.1 plus have blank/black screen problem but volume button, power button its a big issue on this product  	1
Very Good Nokia 5.1 is a very good phone with some issues, that's why I giving 4  .  Pros - Very stylish look & feel great performance Display is average at it best (Not bad ) Very Good battery life Latest OS and security updates Cons - camera performance is average at it best . But  The biggest cons I have found on this phone is Bluetooth connection issue, the sound via Bluetooth device connect and disconnect continuosly. If you don't use Bluetooth device then it is perfectly fine. And Once the th...  	4
Mind-blowing purchase Most underrated smartphone by Nokia... Surely go for it.  	5
Highly recommended I loved it.....  	5
Super! excellent product, courier boy excellent delivery, thanks ekart and Flipkart  	5
Very poor bed experience with Flipkart Nokia 5.1 plus mobile heating issue whele contact with charger. Flipkart give 10 day replacement but  Flipkart lies that 10 days replacement. too bed. Flipkart only took out the 10 days time complaints. I brought mobile, it turned out defective product I could not find any solution.  	1
Terrific purchase nice mobile in this range awesome product.....  	5
Best in the market! best phone in this price range  	5
Good choice I got this product on the first sale. It was delivered in 2days. At first look I was disappointed because of the packing. Other than that, the phone itself is a looker, it was really good to handle, good build quality and battery was holding for more than 24 hours for normal usage. The camera quality on the Rear is good, but front cam is not on level to 8MP.  I bought it for the Android one and Type-C port, but while using I found a few glitches here and there. Notch  implementation is not...  	4
Terrific purchase The Nokia 5.1 Plus is equipped with an octa-core MediaTek processor which is joined with 3GB of RAM to pass on quality and reliable execution. The mobile phone is ideal for the people who need to tackle different applications meanwhile or are a consistent multitasker. The device in like manner enables slack free execution while you acknowledge beguilements on the white screen. To the extent battery, the phone tastes juice from a non removable Li-lon 3060 mAh battery which most likely won't s...  	5
Delightful nice phone...  	4
Terrific purchase Excellent product as it is Nokia. smooth touch good camera,  	5
Nice product I also face the problem with the screen goes blank its not working after restart it come again. nokia shuld fix it soon  	4
Simply awesome excellent phone from nokia..Good value for money. Superfast processor.Funny thing is that Its actually faster than 6.1 plus....  	5
Nice product Awesome product for the segment however dont expect everything to be as good as mi but I feel mi lacks quality of the product this feels premium  if u want to gift this to old buddies then its worth it else there are many option like real me 2 pro etc for young guys I personally ordered for dad and this will last long unlike the mi phones I am happy with the qulaity of the product  	4
Super! My favourite Nokia brand, best mobile, Fast mobile. If you think to buy this mobile, first order temper glass and back cover, because high Glassy and slippery.  	5
Good choice Nice phone, under bugat, ND back to Nokia in market for osm phone i like it, thanks flipkart nd Nokia for this phone Nokia 5.1 plus   	4
Worthless DO NOT BUY this phone. Display problem started just after purchase. Phone is on and working but display is not coming.  Build quality is not like NOKIA.  	1
Wonderful amazing phone from NOKIA Great look  Awesome processor Decent camera Good battery backup Charging is fast  	5
Fabulous! Really awesome mobile from Nokia In this Range...only one backdrop is that they are not giving any back case and tempered glass for this mobile... i searched. whole city but didn't find back case and tempered glass with perfect fitting. other than this it is SuperB  	5
Very Good good  	4
Wonderful Nice product  	4
Horrible Display not working ! Problem right from day one . Had a lot of expectations from Nokia but this was a big let off! Raised the issue earlier but the technician got the phone to work somehow. Continued working for 10 days and now I'm left stranded since my 10 day replacement period is over and the phone is not working! Absolutely useless phone. Pls provide replacement or provide a replacement immediately!!  	1
Absolute rubbish! display damaged in only one day due very glossy from rear side . extra glossy causes slippery on normal plane also . not suitable for rough user  	1
Not recommended at all Very bad policy if customer not satisfied with product ask many questions and give irretrievable reasons and deny to return  	1
Pretty good Most compact model (size and weight). It look really good. Other than that everything is Normal only.  	4
Worthless this mbl HV a big prblm with its display.... often it's display got off itself.... I suffered this prblm 2 times within 12 days....shamed Nokia.... u HV broken my crush on u  	1
Simply awesome super phone,but battery dry esy and you on battery saver it's ok,camera it's average, display super,speed super,some heating is their.  	5
