Terrific good  	5
Nice product Nice mobile .. overall good. .. no heating issues.. back camera super.. battery average but good. Nice look. value for money.  	4
Simply awesome mobile size small nice  	5
Terrific purchase awesome  	5
Really Nice i am writing review  after using 16 days... Waw...Sixxxxxxx (redmi 6) super mobile fantastic hd display quality. camera was super. Three slot (one memory card +two sim ) battery backup ok. a good internal  memory under 8k. Nice front camera we can capture a good clarity selfies. but one thing missed in this mobile i.e  no front flash light. overall a good mobile from redmi. Liked it !!  	4
Just wow! Serously Man... First time I crack the Flash sale on launching date ....and today I got it in a only one day. Very fastest delivery. All features are available in this bugget. I gifted for my Dad . He loves very much. Just awsome. camera also portrait & self portrait mode.  Thanks Flipkart & Redmi   	5
Best in the market! Awesome Phone Received the phone before 24 hrs of order thanks Flipkart ,awesome battery backup,aswell as display,camera both rare and front are awesome aswell  as the portrait mood with AI works great and capture good photograph ,face unlock works perfectly in low light also , finger print scanner is very fast, overall good budget mid range phone ,go for it..  	5
Classy product Wow this device is Trendy in looks, way better than what the pictures on flipkart show. In hand feel is also suberb very light weight and slim. No other brand provides these awesome features in this budget range. Pure Value for money. USP of this device is its Beautiful Dual camera set up and powerful Helio P22 Al CPU and a compact form factor 5.45" HD+ display to give u a comfortable and light weight smartphone experience in just 8k money. Its 3000 mah battery gives good batter backup of ...  	5
Delightful Best budget phone in this price category ,if battery is 3500 mah it would be awesome,will refer it over realme 2 and its fu..king color os,King is always king,  	4
Terrific purchase Looking Good & Great Quality  	5
Must buy! nice phone I love it  	5
Really Nice screen width size small  	4
Good choice this average in point of me ..... if in this mobile battery is above 3000 mAh then I gave 5 star  	4
Awesome nice phone best buy value for money nice n better phone in the price range  	5
Pretty good Pros:  1.Call quality is good.  2.No heating issues due to helioprocessor 3.Cameras r good. 4.Battery backup is ok. 5.Fingerprint is good. 6.Facelock is average. Cons: 1.Display is small size. 2.Video playing is not good.Even 720p videos looks like 360p videos.So very disappointment in display quality. 3.Mobile brightness is not good. 4.Speaker position is backside of the mobile.So couldnt able to hear sometimes.. Final verdict: It is ok mobile for 7499 only.. Better to go other mobiles like ...  	4
Perfect product! Nice phone under 9000, performance is good,camera is good,overall a good entry level device but a bit smaller battery is somewhat I do not like in Redmi phones.  	5
Awesome superb model took happy with Redmi 6a good camera Features also nice overall awesome worth the price Thanks flipkart & redmi  	5
